year,gat,mA_gat,cat,mA_cat
1796,8.27,,25.03,
1797,8.51,,26.71,
1798,8.67,,24.29,
1799,8.51,,25.28,
1800,8.48,,25.21,
1801,8.59,,24.22,
1802,8.58,,25.63,
1803,8.5,,25.38,
1804,8.84,,25.68,
1805,8.56,8.551,25.3,25.273
1806,8.43,8.567,25.22,25.292
1807,8.28,8.544,24.97,25.118
1808,7.63,8.44,,25.21
1809,7.08,8.297,,25.20125
1810,6.92,8.141,,25.2
1811,6.86,7.968,,25.36333333
1812,7.05,7.815,,25.31
1813,7.74,7.739,24.56,25.146
1814,7.59,7.614,23.73,24.756
1815,7.24,7.482,24.09,24.514
1816,6.94,7.333,23.7,24.21
1817,6.98,7.203,23.86,23.988
1818,7.83,7.223,24.37,24.05166667
1819,7.37,7.252,23.9,24.03
1820,7.62,7.322,24.12,24.04125
1821,8.09,7.445,24.83,24.12888889
1822,8.19,7.559,24.93,24.209
1823,7.72,7.557,24.63,24.216
1824,8.55,7.653,25.3,24.373
1825,8.39,7.768,25.11,24.475
1826,8.36,7.91,25.12,24.617
1827,8.81,8.093,25.36,24.767
1828,8.17,8.127,24.9,24.82
1829,7.94,8.184,24.71,24.901
1830,8.52,8.274,25.07,24.996
1831,7.64,8.229,24.43,24.956
1832,7.45,8.155,24.62,24.925
1833,8.01,8.184,24.85,24.947
1834,8.15,8.144,24.82,24.899
1835,7.39,8.044,23.9,24.778
1836,7.7,7.978,24.54,24.72
1837,7.38,7.835,24.42,24.626
1838,7.51,7.769,24.38,24.574
1839,7.63,7.738,24.45,24.548
1840,7.8,7.666,24.72,24.513
1841,7.69,7.671,24.49,24.519
1842,8.02,7.728,24.78,24.535
1843,8.17,7.744,24.75,24.525
1844,7.65,7.694,24.36,24.479
1845,7.85,7.74,24.6,24.549
1846,8.55,7.825,25.16,24.611
1847,8.09,7.896,24.66,24.635
1848,7.98,7.943,24.45,24.642
1849,7.98,7.978,24.49,24.646
1850,7.9,7.988,24.78,24.652
1851,8.18,8.037,24.76,24.679
1852,8.1,8.045,24.65,24.666
1853,8.04,8.032,24.88,24.679
1854,8.21,8.088,25.02,24.745
1855,8.11,8.114,25.24,24.809
1856,8,8.059,23.86,24.679
1857,7.76,8.026,24.3,24.643
1858,8.1,8.038,,24.66444444
1859,8.25,8.065,,24.68625
1860,7.96,8.071,,24.67285714
1861,7.85,8.038,,24.65833333
1862,7.56,7.984,,24.66
1863,8.11,7.991,,24.605
1864,7.98,7.968,,24.46666667
1865,8.18,7.975,,24.08
1866,8.29,8.004,,24.3
1867,8.44,8.072,,
1868,8.25,8.087,,
1869,8.43,8.105,,
1870,8.2,8.129,24.89,24.89
1871,8.12,8.156,24.88,24.885
1872,8.19,8.219,24.94,24.90333333
1873,8.35,8.243,25.06,24.9425
1874,8.43,8.288,24.25,24.804
1875,7.86,8.256,25.38,24.9
1876,8.08,8.235,24.93,24.90428571
1877,8.54,8.245,25.08,24.92625
1878,8.83,8.303,25.18,24.95444444
1879,8.17,8.277,24.86,24.945
1880,8.12,8.269,25.45,25.001
1881,8.27,8.284,25.09,25.022
1882,8.13,8.278,24.89,25.017
1883,7.98,8.241,24.82,24.993
1884,7.77,8.175,24.67,25.035
1885,7.92,8.181,24.38,24.935
1886,7.95,8.168,24.89,24.931
1887,7.91,8.105,24.9,24.913
1888,8.09,8.031,24.88,24.883
1889,8.32,8.046,25.21,24.918
1890,7.97,8.031,25.06,24.879
1891,8.02,8.006,24.68,24.838
1892,8.07,8,25.49,24.898
1893,8.06,8.008,23.84,24.8
1894,8.16,8.047,24.74,24.807
1895,8.15,8.07,25.15,24.884
1896,8.21,8.096,25.83,24.978
1897,8.29,8.134,25.39,25.027
1898,8.18,8.143,25.55,25.094
1899,8.4,8.151,25.86,25.159
1900,8.5,8.204,25.56,25.209
1901,8.54,8.256,25.49,25.29
1902,8.3,8.279,25.66,25.307
1903,8.22,8.295,25.14,25.437
1904,8.09,8.288,25.07,25.47
1905,8.23,8.296,24.75,25.43
1906,8.38,8.313,25.17,25.364
1907,7.95,8.279,25.02,25.327
1908,8.19,8.28,25.14,25.286
1909,8.18,8.258,24.75,25.175
1910,8.22,8.23,24.81,25.1
1911,8.18,8.194,25.36,25.087
1912,8.17,8.181,25.25,25.046
1913,8.3,8.189,24.94,25.026
1914,8.59,8.239,25.12,25.031
1915,8.59,8.275,25.73,25.129
1916,8.23,8.26,25.07,25.119
1917,8.02,8.267,23.84,25.001
1918,8.13,8.261,25.28,25.015
1919,8.38,8.281,24.84,25.024
1920,8.36,8.295,24.99,25.042
1921,8.57,8.334,26.04,25.11
